iter	Passed	Remaining
794	18616	4800
795	18630	4774
796	18642	4748
797	18656	4722
798	18668	4696
799	18679	4669
800	18695	4644
801	18710	4619
802	18723	4593
803	18737	4567
804	18749	4541
805	18766	4517
806	18778	4491
807	18793	4465
808	18820	4443
809	18838	4418
810	18853	4393
811	18867	4368
812	18878	4342
813	18892	4316
814	18909	4292
815	18925	4267
816	18939	4242
817	18954	4217
818	18969	4192
819	18983	4167
820	18996	4141
821	19013	4117
822	19025	4091
823	19039	4066
824	19055	4042
825	19070	4017
826	19085	3992
827	19100	3967
828	19115	3943
829	19130	3918
830	19144	3893
831	19156	3868
832	19170	3843
833	19184	3818
834	19200	3794
835	19226	3771
836	19249	3748
837	19271	3725
838	19283	3700
839	19298	3675
840	19313	3651
841	19329	3627
842	19344	3602
843	19360	3578
844	19372	3553
845	19383	3528
846	19399	3504
847	19415	3480
848	19429	3455
849	19444	3431
850	19459	3407
851	19474	3382
852	19489	3358
853	19504	3334
854	19515	3309
855	19529	3285
856	19544	3261
857	19560	3237
858	19576	3213
859	19591	3189
860	19606	3165
861	19618	3140
862	19643	3118
863	19661	3094
864	19674	3070
865	19689	3046
866	19704	3022
867	19721	2999
868	19737	2975
869	19749	2951
870	19761	2926
871	19776	2902
872	19793	2879
873	19807	2855
874	19823	2831
875	19838	2808
876	19852	2784
877	19867	2760
878	19881	2736
879	19900	2713
880	19918	2690
881	19935	2667
882	19950	2643
883	19965	2619
884	19980	2596
885	19993	2572
886	20012	2549
887	20039	2527
888	20087	2508
889	20110	2485
890	20122	2461
891	20138	2438
892	20154	2414
893	20170	2391
894	20186	2368
895	20201	2344
896	20215	2321
897	20234	2298
898	20253	2275
899	20273	2252
900	20286	2228
901	20300	2205
902	20315	2182
903	20331	2159
904	20349	2136
905	20364	2112
906	20381	2089
907	20397	2066
908	20411	2043
909	20426	2020
910	20442	1997
911	20462	1974
912	20482	1951
913	20505	1929
914	20519	1906
915	20531	1882
916	20546	1859
917	20564	1836
918	20580	1813
919	20594	1790
920	20608	1767
921	20625	1744
922	20639	1721
923	20654	1698
924	20670	1675
925	20685	1653
926	20701	1630
927	20717	1607
928	20735	1584
929	20750	1561
930	20767	1539
931	20785	1516
932	20797	1493
933	20808	1470
934	20826	1447
935	20839	1424
936	20853	1402
937	20881	1380
938	20897	1357
939	20912	1334
940	20923	1311
941	20937	1289
942	20953	1266
943	20970	1244
944	20985	1221
945	20999	1198
946	21014	1176
947	21030	1153
948	21046	1131
949	21060	1108
950	21076	1085
951	21093	1063
952	21107	1040
953	21122	1018
954	21136	995
955	21151	973
956	21165	951
957	21180	928
958	21197	906
959	21212	883
960	21227	861
961	21241	839
962	21258	816
963	21272	794
964	21284	771
965	21311	750
966	21334	728
967	21347	705
968	21362	683
969	21377	661
970	21394	638
971	21410	616
972	21424	594
973	21437	572
974	21449	549
975	21461	527
976	21475	505
977	21491	483
978	21508	461
979	21526	439
980	21541	417
981	21557	395
982	21579	373
983	21609	351
984	21643	329
985	21665	307
986	21697	285
987	21716	263
988	21731	241
989	21747	219
990	21767	197
991	21789	175
992	21805	153
993	21823	131
994	21836	109
995	21856	87
996	21874	65
997	21891	43
998	21909	21
999	21929	0
